value,source,target,sex,year,id
6691.537,"Adverse effects of medical treatment","Complications of medical treatment","male",2000,"inj_medical1"
34.07745,"Assault by firearm","Open wound","male",2000,"inj_homicide_gun1"
.0044857,"Assault by firearm","Non-fatal submersion","male",2000,"inj_homicide_gun2"
36.05126,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","male",2000,"inj_homicide_gun3"
11.81241,"Assault by firearm","Fracture of femur, other than femoral neck","male",2000,"inj_homicide_gun4"
.200791,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2000,"inj_homicide_gun5"
.5015556,"Assault by firearm","Injury to eyes (including foreign body eye)","male",2000,"inj_homicide_gun6"
3.228257,"Assault by firearm","Fracture of radius or ulna","male",2000,"inj_homicide_gun7"
1.657877,"Assault by firearm","Severe chest Injury","male",2000,"inj_homicide_gun8"
32.09535,"Assault by firearm","Spinal cord lesion below neck level","male",2000,"inj_homicide_gun9"
3.960297,"Assault by firearm","Minor traumatic brain injury","male",2000,"inj_homicide_gun10"
.7486372,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","male",2000,"inj_homicide_gun11"
.3853984,"Assault by firearm","Burns with <20% total burned surface area","male",2000,"inj_homicide_gun12"
.0482754,"Assault by firearm","Dislocation of hip","male",2000,"inj_homicide_gun13"
4.851122,"Assault by firearm","Moderate to severe traumatic brain injury","male",2000,"inj_homicide_gun14"
10.40396,"Assault by firearm","Spinal cord lesion at neck level","male",2000,"inj_homicide_gun15"
6.112222,"Assault by firearm","Contusion","male",2000,"inj_homicide_gun16"
.2786677,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","male",2000,"inj_homicide_gun17"
14.23371,"Assault by firearm","Multiple significant injuries","male",2000,"inj_homicide_gun18"
5.60664,"Assault by firearm","Fracture of pelvis","male",2000,"inj_homicide_gun19"
2.883385,"Assault by firearm","Fracture of hand bone","male",2000,"inj_homicide_gun20"
.2705382,"Assault by firearm","Fracture of face bone","male",2000,"inj_homicide_gun21"
.0097675,"Assault by firearm","Fracture of sternum or rib(s)","male",2000,"inj_homicide_gun22"
