value,source,target,sex,year,id
5637.302,"Adverse effects of medical treatment","Complications of medical treatment","male",1990,"inj_medical1"
2.494541,"Assault by firearm","Fracture of radius or ulna","male",1990,"inj_homicide_gun1"
.0614024,"Assault by firearm","Dislocation of knee","male",1990,"inj_homicide_gun2"
4.476475,"Assault by firearm","Fracture of pelvis","male",1990,"inj_homicide_gun3"
4.387078,"Assault by firearm","Contusion","male",1990,"inj_homicide_gun4"
29.73813,"Assault by firearm","Open wound","male",1990,"inj_homicide_gun5"
.1437052,"Assault by firearm","Dislocation of shoulder","male",1990,"inj_homicide_gun6"
3.60796,"Assault by firearm","Poisoning","male",1990,"inj_homicide_gun7"
.0071164,"Assault by firearm","Fracture of sternum or rib(s)","male",1990,"inj_homicide_gun8"
.0032741,"Assault by firearm","Non-fatal submersion","male",1990,"inj_homicide_gun9"
.190687,"Assault by firearm","Fracture of face bone","male",1990,"inj_homicide_gun10"
19.18191,"Assault by firearm","Fracture of vertebral column","male",1990,"inj_homicide_gun11"
.3616667,"Assault by firearm","Fracture of clavicle, scapula, or humerus","male",1990,"inj_homicide_gun12"
10.75827,"Assault by firearm","Multiple significant injuries","male",1990,"inj_homicide_gun13"
.5807289,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","male",1990,"inj_homicide_gun14"
.1377656,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",1990,"inj_homicide_gun15"
.2148193,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","male",1990,"inj_homicide_gun16"
27.45155,"Assault by firearm","Spinal cord lesion below neck level","male",1990,"inj_homicide_gun17"
2.771171,"Assault by firearm","Minor traumatic brain injury","male",1990,"inj_homicide_gun18"
5.077795,"Assault by firearm","Complications of medical treatment","male",1990,"inj_homicide_gun19"
8.398038,"Assault by firearm","Spinal cord lesion at neck level","male",1990,"inj_homicide_gun20"
28.42184,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","male",1990,"inj_homicide_gun21"
5.567431,"Assault by firearm","Fracture of skull","male",1990,"inj_homicide_gun22"
3.766327,"Assault by firearm","Moderate to severe traumatic brain injury","male",1990,"inj_homicide_gun23"
2.088582,"Assault by firearm","Injured nerves","male",1990,"inj_homicide_gun24"
11.05409,"Assault by firearm","Fracture of neck of femur","male",1990,"inj_homicide_gun25"
1.325304,"Assault by firearm","Severe chest Injury","male",1990,"inj_homicide_gun26"
.28982,"Assault by firearm","Burns with <20% total burned surface area","male",1990,"inj_homicide_gun27"
1.96581,"Assault by firearm","Fracture of foot bone","male",1990,"inj_homicide_gun28"
.4612113,"Assault by firearm","Injury to eyes (including foreign body eye)","male",1990,"inj_homicide_gun29"
20.11112,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","male",1990,"inj_homicide_gun30"
.0358821,"Assault by firearm","Dislocation of hip","male",1990,"inj_homicide_gun31"
2.350617,"Assault by firearm","Fracture of hand bone","male",1990,"inj_homicide_gun32"
.0862418,"Assault by firearm","Amputation of finger (excluding thumb)","male",1990,"inj_homicide_gun33"
.2625123,"Assault by firearm","Crush injury","male",1990,"inj_homicide_gun34"
8.983058,"Assault by firearm","Fracture of femur, other than femoral neck","male",1990,"inj_homicide_gun35"
43.33458,"Assault by other means","Poisoning","male",1990,"inj_homicide_other1"
65.90472,"Assault by other means","Fracture of patella, tibia, fibula, or ankle","male",1990,"inj_homicide_other2"
11.30811,"Assault by other means","Burns with <20% total burned surface area","male",1990,"inj_homicide_other3"
.0816039,"Assault by other means","Amputation of finger (excluding thumb)","male",1990,"inj_homicide_other4"
120.5052,"Assault by other means","Multiple significant injuries","male",1990,"inj_homicide_other5"
37.21181,"Assault by other means","Fracture of skull","male",1990,"inj_homicide_other6"
20.9144,"Assault by other means","Spinal cord lesion below neck level","male",1990,"inj_homicide_other7"
27.81875,"Assault by other means","Minor traumatic brain injury","male",1990,"inj_homicide_other8"
.8592127,"Assault by other means","Crush injury","male",1990,"inj_homicide_other9"
6.415817,"Assault by other means","Fracture of radius or ulna","male",1990,"inj_homicide_other10"
.1668535,"Assault by other means","Non-fatal submersion","male",1990,"inj_homicide_other11"
50.92879,"Assault by other means","Moderate to severe traumatic brain injury","male",1990,"inj_homicide_other12"
14.57677,"Assault by other means","Spinal cord lesion at neck level","male",1990,"inj_homicide_other13"
9.860507,"Assault by other means","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",1990,"inj_homicide_other14"
1.898497,"Assault by other means","Environmental factors (e.g. temperature, pressure, electricity)","male",1990,"inj_homicide_other15"
4.64919,"Assault by other means","Fracture of face bone","male",1990,"inj_homicide_other16"
47.69059,"Assault by other means","Fracture of neck of femur","male",1990,"inj_homicide_other17"
21.25529,"Assault by other means","Internal hemorrhage in abdomen or pelvis","male",1990,"inj_homicide_other18"
2.823054,"Assault by other means","Injury to eyes (including foreign body eye)","male",1990,"inj_homicide_other19"
4.730244,"Assault by other means","Dislocation of shoulder","male",1990,"inj_homicide_other20"
7.159497,"Assault by other means","Fracture of pelvis","male",1990,"inj_homicide_other21"
34.49795,"Assault by other means","Contusion","male",1990,"inj_homicide_other22"
1.364104,"Assault by other means","Severe chest Injury","male",1990,"inj_homicide_other23"
3.70737,"Assault by other means","Other injuries of muscle & tendon and other dislocations","male",1990,"inj_homicide_other24"
4.081035,"Assault by other means","Injured nerves","male",1990,"inj_homicide_other25"
.7260348,"Assault by other means","Dislocation of hip","male",1990,"inj_homicide_other26"
2.691308,"Assault by other means","Fracture of foot bone","male",1990,"inj_homicide_other27"
142.6776,"Assault by other means","Open wound","male",1990,"inj_homicide_other28"
3.976085,"Assault by other means","Fracture of sternum or rib(s)","male",1990,"inj_homicide_other29"
19.66084,"Assault by other means","Fracture of femur, other than femoral neck","male",1990,"inj_homicide_other30"
23.00606,"Assault by other means","Complications of medical treatment","male",1990,"inj_homicide_other31"
1.039981,"Assault by other means","Fracture of clavicle, scapula, or humerus","male",1990,"inj_homicide_other32"
21.48737,"Assault by other means","Fracture of vertebral column","male",1990,"inj_homicide_other33"
31.42873,"Assault by other means","Fracture of hand bone","male",1990,"inj_homicide_other34"
.1374766,"Assault by other means","Dislocation of knee","male",1990,"inj_homicide_other35"
1.285667,"Assault by sharp object","Fracture of pelvis","male",1990,"inj_homicide_knife1"
.0590389,"Assault by sharp object","Dislocation of knee","male",1990,"inj_homicide_knife2"
.6931147,"Assault by sharp object","Burns with <20% total burned surface area","male",1990,"inj_homicide_knife3"
42.31726,"Assault by sharp object","Internal hemorrhage in abdomen or pelvis","male",1990,"inj_homicide_knife4"
1.755601,"Assault by sharp object","Fracture of radius or ulna","male",1990,"inj_homicide_knife5"
6.16587,"Assault by sharp object","Contusion","male",1990,"inj_homicide_knife6"
.0302895,"Assault by sharp object","Non-fatal submersion","male",1990,"inj_homicide_knife7"
.383103,"Assault by sharp object","Fracture of clavicle, scapula, or humerus","male",1990,"inj_homicide_knife8"
1.542905,"Assault by sharp object","Dislocation of shoulder","male",1990,"inj_homicide_knife9"
4.952102,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations","male",1990,"inj_homicide_knife10"
5.63305,"Assault by sharp object","Spinal cord lesion at neck level","male",1990,"inj_homicide_knife11"
.3769662,"Assault by sharp object","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",1990,"inj_homicide_knife12"
.1959241,"Assault by sharp object","Fracture of sternum or rib(s)","male",1990,"inj_homicide_knife13"
.4601637,"Assault by sharp object","Amputation of finger (excluding thumb)","male",1990,"inj_homicide_knife14"
.2636684,"Assault by sharp object","Fracture of face bone","male",1990,"inj_homicide_knife15"
5.46341,"Assault by sharp object","Fracture of neck of femur","male",1990,"inj_homicide_knife16"
4.056264,"Assault by sharp object","Fracture of femur, other than femoral neck","male",1990,"inj_homicide_knife17"
3.468599,"Assault by sharp object","Severe chest Injury","male",1990,"inj_homicide_knife18"
9.464186,"Assault by sharp object","Complications of medical treatment","male",1990,"inj_homicide_knife19"
1.509185,"Assault by sharp object","Fracture of foot bone","male",1990,"inj_homicide_knife20"
34.09665,"Assault by sharp object","Multiple significant injuries","male",1990,"inj_homicide_knife21"
.9032896,"Assault by sharp object","Crush injury","male",1990,"inj_homicide_knife22"
8.062074,"Assault by sharp object","Fracture of skull","male",1990,"inj_homicide_knife23"
.3314949,"Assault by sharp object","Environmental factors (e.g. temperature, pressure, electricity)","male",1990,"inj_homicide_knife24"
.196165,"Assault by sharp object","Dislocation of hip","male",1990,"inj_homicide_knife25"
5.737669,"Assault by sharp object","Injured nerves","male",1990,"inj_homicide_knife26"
100.1575,"Assault by sharp object","Open wound","male",1990,"inj_homicide_knife27"
2.395968,"Assault by sharp object","Poisoning","male",1990,"inj_homicide_knife28"
15.12458,"Assault by sharp object","Spinal cord lesion below neck level","male",1990,"inj_homicide_knife29"
5.063424,"Assault by sharp object","Fracture of hand bone","male",1990,"inj_homicide_knife30"
6.549186,"Assault by sharp object","Moderate to severe traumatic brain injury","male",1990,"inj_homicide_knife31"
11.3209,"Assault by sharp object","Fracture of patella, tibia, fibula, or ankle","male",1990,"inj_homicide_knife32"
4.910073,"Assault by sharp object","Fracture of vertebral column","male",1990,"inj_homicide_knife33"
2.283451,"Assault by sharp object","Minor traumatic brain injury","male",1990,"inj_homicide_knife34"
1.868738,"Assault by sharp object","Injury to eyes (including foreign body eye)","male",1990,"inj_homicide_knife35"
1.565826,"Cyclist road injuries","Dislocation of hip","male",1990,"inj_trans_road_pedal1"
.6367511,"Cyclist road injuries","Burns with <20% total burned surface area","male",1990,"inj_trans_road_pedal2"
3.017468,"Cyclist road injuries","Severe chest Injury","male",1990,"inj_trans_road_pedal3"
146.7787,"Cyclist road injuries","Fracture of vertebral column","male",1990,"inj_trans_road_pedal4"
17.12317,"Cyclist road injuries","Internal hemorrhage in abdomen or pelvis","male",1990,"inj_trans_road_pedal5"
5.274195,"Cyclist road injuries","Fracture of sternum or rib(s)","male",1990,"inj_trans_road_pedal6"
253.4318,"Cyclist road injuries","Open wound","male",1990,"inj_trans_road_pedal7"
144.2939,"Cyclist road injuries","Multiple significant injuries","male",1990,"inj_trans_road_pedal8"
.3738156,"Cyclist road injuries","Dislocation of knee","male",1990,"inj_trans_road_pedal9"
5.809296,"Cyclist road injuries","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",1990,"inj_trans_road_pedal10"
32.14395,"Cyclist road injuries","Spinal cord lesion at neck level","male",1990,"inj_trans_road_pedal11"
206.9214,"Cyclist road injuries","Fracture of neck of femur","male",1990,"inj_trans_road_pedal12"
21.46578,"Cyclist road injuries","Dislocation of shoulder","male",1990,"inj_trans_road_pedal13"
3.156751,"Cyclist road injuries","Injured nerves","male",1990,"inj_trans_road_pedal14"
2.410182,"Cyclist road injuries","Crush injury","male",1990,"inj_trans_road_pedal15"
9.031249,"Cyclist road injuries","Spinal cord lesion below neck level","male",1990,"inj_trans_road_pedal16"
14.28093,"Cyclist road injuries","Fracture of skull","male",1990,"inj_trans_road_pedal17"
.9819697,"Cyclist road injuries","Poisoning","male",1990,"inj_trans_road_pedal18"
