value,source,target,sex,year,id
6689.07,"Adverse effects of medical treatment","Complications of medical treatment","female",2000,"inj_medical1"
12.27812,"Assault by firearm","Fracture of vertebral column","female",2000,"inj_homicide_gun1"
.8158265,"Assault by firearm","Injured nerves","female",2000,"inj_homicide_gun2"
.5192615,"Assault by firearm","Severe chest Injury","female",2000,"inj_homicide_gun3"
3.011354,"Assault by firearm","Complications of medical treatment","female",2000,"inj_homicide_gun4"
.8535711,"Assault by firearm","Fracture of foot bone","female",2000,"inj_homicide_gun5"
.0354654,"Assault by firearm","Dislocation of knee","female",2000,"inj_homicide_gun6"
3.114336,"Assault by firearm","Moderate to severe traumatic brain injury","female",2000,"inj_homicide_gun7"
17.81683,"Assault by firearm","Poisoning","female",2000,"inj_homicide_gun8"
2.142621,"Assault by firearm","Fracture of skull","female",2000,"inj_homicide_gun9"
.1136973,"Assault by firearm","Dislocation of shoulder","female",2000,"inj_homicide_gun10"
.0027708,"Assault by firearm","Fracture of sternum or rib(s)","female",2000,"inj_homicide_gun11"
.0466775,"Assault by firearm","Dislocation of hip","female",2000,"inj_homicide_gun12"
12.16396,"Assault by firearm","Spinal cord lesion below neck level","female",2000,"inj_homicide_gun13"
.1205023,"Assault by firearm","Crush injury","female",2000,"inj_homicide_gun14"
3.262527,"Assault by firearm","Fracture of femur, other than femoral neck","female",2000,"inj_homicide_gun15"
1.114807,"Assault by firearm","Minor traumatic brain injury","female",2000,"inj_homicide_gun16"
.1909748,"Assault by firearm","Fracture of clavicle, scapula, or humerus","female",2000,"inj_homicide_gun17"
.3642224,"Assault by firearm","Fracture of radius or ulna","female",2000,"inj_homicide_gun18"
.4231631,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","female",2000,"inj_homicide_gun19"
.0949197,"Assault by firearm","Fracture of face bone","female",2000,"inj_homicide_gun20"
.0019359,"Assault by firearm","Non-fatal submersion","female",2000,"inj_homicide_gun21"
9.531558,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","female",2000,"inj_homicide_gun22"
1.213415,"Assault by firearm","Fracture of hand bone","female",2000,"inj_homicide_gun23"
.0475986,"Assault by firearm","Amputation of finger (excluding thumb)","female",2000,"inj_homicide_gun24"
3.143414,"Assault by firearm","Contusion","female",2000,"inj_homicide_gun25"
.4004789,"Assault by firearm","Injury to eyes (including foreign body eye)","female",2000,"inj_homicide_gun26"
.0505684,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2000,"inj_homicide_gun27"
6.62319,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","female",2000,"inj_homicide_gun28"
.1443913,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","female",2000,"inj_homicide_gun29"
4.701875,"Assault by firearm","Spinal cord lesion at neck level","female",2000,"inj_homicide_gun30"
.242188,"Assault by firearm","Burns with <20% total burned surface area","female",2000,"inj_homicide_gun31"
19.76656,"Assault by firearm","Open wound","female",2000,"inj_homicide_gun32"
4.868185,"Assault by firearm","Multiple significant injuries","female",2000,"inj_homicide_gun33"
3.811813,"Assault by firearm","Fracture of pelvis","female",2000,"inj_homicide_gun34"
3.597406,"Assault by firearm","Fracture of neck of femur","female",2000,"inj_homicide_gun35"
2.021873,"Assault by other means","Injury to eyes (including foreign body eye)","female",2000,"inj_homicide_other1"
101.9743,"Assault by other means","Open wound","female",2000,"inj_homicide_other2"
1.113035,"Assault by other means","Fracture of clavicle, scapula, or humerus","female",2000,"inj_homicide_other3"
13.45794,"Assault by other means","Fracture of femur, other than femoral neck","female",2000,"inj_homicide_other4"
.1536691,"Assault by other means","Dislocation of knee","female",2000,"inj_homicide_other5"
